FIPS Code,Opioid Rate per 100 per year,Percent Below Poverty Level Estimate Population For Whom Poverty Status Is Determined,"Percent Below Poverty Level Estimate White Alone, Not Hispanic Or Latino",Total Estimate All Individuals With Income Below The Following Poverty Ratios 50 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 125 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 150 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 185 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 200 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 300 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 400 Percent Of Poverty Level,Total Estimate All Individuals With Income Below The Following Poverty Ratios 500 Percent Of Poverty Level,Percent Below Poverty Level Estimate Unrelated Individuals For Whom Poverty Status Is Determined,"Percent Below Poverty Level Estimate Worked Fulltime, Yearround In The Past 12 Months","Percent Below Poverty Level Estimate Worked Less Than Fulltime, Yearround In The Past 12 Months",Percent Below Poverty Level Estimate Did Not Work,Percent With A Disability Estimate Total Civilian Noninstitutionalized Population,"Percent With A Disability Estimate White Alone, Not Hispanic Or Latino",Percent Households Receiving Food Stamps/SNAP Estimate Households,Percent Households Not Receiving Food Stamps/SNAP Estimate Households,Percent Estimate Household Type Marriedcouple Family,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Married couple Family,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Marriedcouple Family,Percent Estimate Household Type Other Family:,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Other Family:,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Other Family:,Percent Estimate Household Type Nonfamily Households,Percent Households Receiving Food Stamps/SNAP Estimate Household Type Nonfamily Households,Percent Households Not Receiving Food Stamps/SNAP Estimate Household Type Nonfamily Households,Percent Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Households Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Households Not Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months Below Poverty Level,Percent Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Households Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Households Not Receiving Food Stamps/SNAP Estimate Poverty Status In The Past 12 Months At Or Above Poverty Level,Percent Estimate Disability Status With One Or More People With A Disability,Percent Households Receiving Food Stamps/SNAP Estimate Disability Status With One Or More People With A Disability,Percent Households Not Receiving Food Stamps/SNAP Estimate Disability Status With One Or More People With A Disability,Percent Estimate Disability Status With No Persons With A Disability,Percent Households Receiving Food Stamps/SNAP Estimate Disability Status With No Persons With A Disability,Percent Households Not Receiving Food Stamps/SNAP Estimate Disability Status With No Persons With A Disability,"Percent Estimate White Alone, Not Hispanic Or Latino","Percent Households Receiving Food Stamps/SNAP Estimate White Alone, Not Hispanic Or Latino","Percent Households Not Receiving Food Stamps/SNAP Estimate White Alone, Not Hispanic Or Latino",Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families No Workers In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families No Workers In Past 12 Months,Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families 1 Worker In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families 1 Worker In Past 12 Months,Percent Estimate Work Status Families 2 Or More Workers In Past 12 Months,Percent Households Receiving Food Stamps/SNAP Estimate Work Status Families 2 Or More Workers In Past 12 Months,Percent Households Not Receiving Food Stamps/SNAP Estimate Work Status Families 2 Or More Workers In Past 12 Months,"Labor Force Participation Rate Estimate White Alone, Not Hispanic Or Latino","Unemployment Rate Estimate White Alone, Not Hispanic Or Latino",Labor Force Participation Rate Estimate Poverty Status In The Past 12 Months Below Poverty Level,Unemployment Rate Estimate Poverty Status In The Past 12 Months Below Poverty Level,Labor Force Participation Rate Estimate Poverty Status In The Past 12 Months At Or Above The Poverty Level,Unemployment Rate Estimate Poverty Status In The Past 12 Months At Or Above The Poverty Level,Labor Force Participation Rate Estimate Disability Status With Any Disability,Unemployment Rate Estimate Disability Status With Any Disability,Diagnosed Hiv,ED Heroin Overdose,ED Opioid Overdose,Ems Narcan,Death Fentanylheroin,Death Prescription,Neonatal Abstinance,Reported Hepatitis C,Opioid Cost per Claim,Opioid Daily Supply per Claim,Poverty Status (Last 12 months),Disability (Percent Household),Food Stamps(Percent Household)
51137,96.6,12.1,11.3,1453,5441,6600,8250,9534,16415,20555,23946,21.3,1.4,31.2,40.3,14.5,14.5,8.9,91.1,56.7,39,58.5,15.9,42.7,13.3,27.3,18.3,28.2,10.8,48.9,7,89.2,51.1,93,28.6,51.2,26.4,71.4,48.8,73.6,83.4,55.4,86.2,19.7,18.4,34.1,34.7,46.9,46.2,46.9,57.5,6.6,49.5,25.8,81.3,6,37.8,19.3,5.7,39.6,220.4,39.6,11.3,11.3,7.8,262.1,44.57993883,21.58800838,25.8,28.6,8.9
51139,99.4,16.4,15.6,1678,5141,6707,8545,9775,14722,18228,20322,30.9,10.8,38.1,42,18.2,18.1,13.2,86.8,53,30,56.5,18.2,46.1,14,28.8,24,29.5,15.2,53.4,9.4,84.8,46.6,90.6,33.4,52.4,30.5,66.6,47.6,69.5,96.6,90,97.6,26.4,18.1,55.5,30.6,46.7,18.1,51.3,58.4,9.2,50.9,35.2,79.7,6.4,26.5,16.3,4.2,4.2,143.3,25.3,0,4.2,17.1,241.3,35.15462413,24.23930553,35.2,33.4,13.2
51141,78.1,21.2,18.8,1599,5107,6282,7608,8315,12262,14809,16229,28.9,3.6,20.2,43.4,19,19.5,17.2,82.8,51.4,30.3,55.8,13.7,28.9,10.5,34.9,40.8,33.7,19.2,58.3,11,80.8,41.7,89,34.2,56.5,29.6,65.8,43.5,70.4,92.4,82,94.6,39.4,25.5,36.4,32.7,39,24.3,41.7,50.2,7.9,36.4,33.1,74.6,4,25.2,3.2,0,5.5,49.9,44.3,0,22.2,0,236.6,29.19151445,23.85254597,33.1,34.2,17.2
51143,24.4,16.1,14.7,4110,13344,16641,22076,24831,37376,46376,52764,29.6,3.7,38.3,44.1,17.7,17.6,15.2,84.8,51.6,26.5,56.1,17.4,38.9,13.5,31,34.6,30.4,15.7,51.2,9.4,84.3,48.8,90.6,33.6,49.2,30.8,66.4,50.8,69.2,77.3,64,79.7,21.8,18.5,49.3,29.3,48.8,28.9,52.1,58.5,6.8,47.3,37,79.9,4.4,34.3,14.1,4.8,0,28.9,9.6,1.6,3.2,4.1,84.3,30.12160388,23.43047473,37,33.6,15.2
51145,51.3,4.9,4.4,564,1829,2100,3285,4072,8720,13280,16046,24.1,5.5,34.1,39.3,9.5,9,5.6,94.4,65.7,45.6,66.9,14.5,43.7,12.8,19.8,10.7,20.3,6.5,11.6,6.2,93.5,88.4,93.8,20.3,57.4,18.1,79.7,42.6,81.9,90.1,86.3,90.3,14.9,13.3,51.4,27.4,57.6,33.7,59.2,65.2,4.5,54.7,20.2,82.5,3.9,29.3,26,0,10.7,164.1,46.4,3.6,0,0,766.1,33.63196127,24.74423609,20.2,20.3,5.6
51147,105.2,21,14.1,2110,4580,6293,7687,8848,11763,13938,15506,41,4.5,58.9,57.7,13.1,11.2,17,83,44.6,18.2,50,19.8,56.6,12.3,35.6,25.2,37.7,19.5,54.5,12.3,80.5,45.5,87.7,29.1,40.6,26.8,70.9,59.4,73.2,64,20.5,73,17.2,19.1,57.2,35.7,41.3,25.6,45.1,49,3.6,42.7,22,76.5,3.5,26.6,15.6,8.7,4.4,135.1,30.5,0,4.4,0,38.4,23.89370027,17.60622345,22,29.1,17
51149,,10,6,1136,3969,5241,7280,8467,14429,19189,23818,18.4,0.6,25.3,35.4,13.9,14.4,9,91,61.9,34.8,64.6,17.5,53.2,13.9,20.7,12.1,21.5,8.6,35.1,5.9,91.4,64.9,94.1,28.6,62.5,25.3,71.4,37.5,74.7,63.5,51.7,64.7,25.8,12.3,56.7,39.1,45.5,17.4,48.6,57.9,8,48,36.7,79.4,7.5,43.5,17.7,2.6,0,26.4,7.9,0,5.3,2.8,158.3,30.6764819,19.93405806,36.7,28.6,9
51153,40.6,6.7,3.4,11039,40493,50399,69283,77109,136243,188384,242242,13.9,1.5,31.1,37.6,6.9,8.7,5.9,94.1,60.2,42,61.4,17.2,45.5,15.4,22.6,12.5,23.2,5.5,30.7,3.9,94.5,69.3,96.1,17.1,41.6,15.5,82.9,58.4,84.5,53.6,27.2,55.2,7.6,5.3,43.3,28.9,64.7,49.1,65.8,71.9,4.2,60.3,18.9,85.5,4.4,56.5,10.6,10.6,5.5,62,0,2.9,2.9,2.7,40.8,72.72473123,22.71167274,18.9,17.1,5.9
51155,135.6,13.5,12.8,1896,6138,7807,10094,11285,17311,22978,26741,27.7,3.1,39.1,41.9,16.7,16.8,14.2,85.8,50.4,20.2,55.4,17,42.9,12.7,32.6,36.9,31.9,13.7,53.7,7,86.3,46.3,93,29.9,48.6,26.8,70.1,51.4,73.2,94.7,92.4,95.1,42.1,17.8,40,31.3,46.5,17.9,50.9,58.3,7.2,41.3,27,81,4.9,32.8,17.6,11.7,0,157.3,20.4,0,5.8,39.2,466.8,33.50664468,22.99265781,27,29.9,14.2
51157,,9.9,10.1,318,918,1140,1701,1880,3192,4380,5080,24.5,10.3,34.3,34,12,12.2,5.9,94.1,58.8,65.1,58.4,10.8,20.8,10.2,30.5,14.1,31.5,11.5,25.5,10.6,88.5,74.5,89.4,24.8,46.4,23.5,75.2,53.6,76.5,90.3,62,92.1,0,14.7,50.3,31.5,53.5,49.7,53.8,58.2,2.8,59.6,13.5,76,1.7,38.2,0,0,0,176.2,40.7,0,0,0,209.9,76.99029522,23.07922272,13.5,24.8,5.9
51159,43.5,10.5,9.5,326,1317,1806,2264,2620,3686,5013,6077,28.3,2.5,17.9,46.7,15,14.4,10.9,89.1,50.2,33.7,52.2,20.7,27.9,19.8,29.1,38.5,28,13.9,44.2,10.2,86.1,55.8,89.8,28.3,42.3,26.6,71.7,57.7,73.4,69.7,67.6,69.9,28.6,19.9,34.4,32.6,46.5,37,47.5,50.4,9.2,38,29.2,84.1,5.5,51,21.4,0,0,112.3,33.7,11.2,0,0,72.6,19.55595705,21.85434174,29.2,28.3,10.9
51161,91.1,8.3,6.9,3268,10247,12741,17208,19793,34841,51038,64351,18,2.4,31.1,29.1,11.4,12.1,6.9,93.1,53.4,20.2,55.8,14.8,53.2,12,31.8,26.6,32.2,8.5,49.7,5.4,91.5,50.3,94.6,23.5,41.8,22.1,76.5,58.2,77.9,90.3,84,90.8,18.3,14.8,48.1,31.2,52.5,33.6,54,62,4.5,46.9,24.5,83.1,3.9,42.2,12.6,7.4,13.8,95.3,27.5,5.3,2.1,13.2,266.6,38.2100931,21.73571509,24.5,23.5,6.9
51163,,13.9,13.1,999,4102,5572,7223,7802,12175,15293,17384,28.5,3,38.3,40.7,16.5,16.3,10.4,89.6,53.7,21.5,57.4,13,49.4,8.8,33.3,29.1,33.8,11.7,42,8.1,88.3,58,91.9,31.2,48.2,29.3,68.8,51.8,70.7,94.3,85.4,95.4,16.8,18,64,32.6,46.1,19.2,49.4,54.5,4.2,34.8,31.4,75.8,2.4,31,8,0,4.5,58.2,0,8.9,4.5,20,67.3,28.57200046,22.25410025,31.4,31.2,10.4
51165,32.6,11.1,9.4,3460,11247,14500,20441,22136,38778,51894,60189,21.5,2.6,35,33.6,12.9,13.3,6.7,93.3,58.2,31.1,60.2,13.9,41,11.9,27.9,27.8,27.9,10.4,51.9,7.4,89.6,48.1,92.6,26.3,42.6,25.1,73.7,57.4,74.9,94.2,90.6,94.4,23.4,13.8,37.3,27.4,57.5,39.3,58.8,64.6,4.9,52.1,25.3,84.4,3.8,48,17.1,1.3,5.1,118.3,24.2,0,3.8,2.5,120,38.76375151,21.94484916,25.3,26.3,6.7
51167,117.6,20.7,20.7,2255,8007,9374,11018,11856,17755,22046,24349,37.7,7.5,40.6,48.6,23.6,24,19.3,80.7,52.3,33.8,56.8,14.4,27.5,11.3,33.2,38.7,31.9,21.6,61.1,12.2,78.4,38.9,87.8,42.5,52.2,40.2,57.5,47.8,59.8,97.9,98.4,97.8,45.6,25.8,36.3,31.5,38.3,18.1,42.6,47.5,7.9,26.6,26.8,68.4,5.7,18.9,19.2,0,3.6,125.5,50.2,0,14.3,27.2,773.6,44.87131629,26.58049587,26.8,42.5,19.3
51169,161.9,20.2,19.8,1812,5883,7039,8704,9192,13345,16818,18421,32.6,3.2,43.5,41.9,23.4,23.5,17.2,82.8,55.3,35.6,59.4,13.7,35.9,9.2,31,28.5,31.5,19.3,62.5,10.3,80.7,37.5,89.7,42.5,63.1,38.2,57.5,36.9,61.8,97.5,97.1,97.6,43.4,24.1,39.2,27.7,42.8,17.5,48.2,50.3,9.4,39.4,35.5,73.7,5.3,24.7,19.4,0,0,45.2,18.1,0,4.5,11,338.9,42.56611306,24.81746912,35.5,42.5,17.2
51171,74.7,12.2,11.1,2149,6944,9376,13212,14448,22571,28349,33763,25.2,4.1,34.6,38.4,13.9,14.6,9.5,90.5,53.8,32.5,56,15,37.1,12.7,31.2,30.4,31.3,11.2,49.4,7.2,88.8,50.6,92.8,28.9,46.9,27,71.1,53.1,73,92.4,93.1,92.3,11.9,16.5,51.3,31.5,50.6,36.8,52.1,60.8,6.1,51.4,31.7,83.1,3.7,45.7,15.7,0,6.9,113.5,11.6,6.9,18.5,22.2,97.6,50.8246813,23.40398485,31.7,28.9,9.5
51173,139.7,18.7,17.3,2283,8002,9533,12051,12942,19647,24582,27580,31.4,5.9,35.1,44.8,19.1,19.5,17.8,82.2,49.7,29.6,54,17.5,40,12.7,32.8,30.4,33.3,18,58.5,9.2,82,41.5,90.8,33.4,46.4,30.5,66.6,53.6,69.5,96.3,94.3,96.7,40.2,20.9,40.1,30.8,43,19.6,48.3,54.6,6.6,40.4,26.4,77,4.3,29.1,14.6,3.2,0,206.5,22.2,0,6.4,43.5,242,32.58022433,24.19981636,26.4,33.4,17.8
51175,2.9,15.7,8.2,1193,3565,4240,5365,5890,9053,11494,14214,29.1,0.1,37,50.4,15.9,12.1,17.2,82.8,52.5,23.8,58.5,21.1,49.5,15.2,26.4,26.7,26.4,16.2,59.8,7.1,83.8,40.2,92.9,31.6,50.2,27.7,68.4,49.8,72.3,60.9,36.7,65.9,15.9,16.1,58.6,31.3,47.9,25.4,52.5,63.2,5.7,51.6,30,80.3,4.3,28,10.4,33.1,0,27.6,66.3,5.5,0,0,0,12.43615385,25.03580902,30,31.6,17.2
51177,75.4,8.2,6.4,4590,14724,18368,23672,26912,47522,65785,81340,20,2.3,31.9,39.7,11.2,12,8.6,91.4,61.3,35.1,63.8,17,47.6,14.1,21.7,17.3,22.1,7.5,35.8,4.9,92.5,64.2,95.1,25,44.2,23.2,75,55.8,76.8,75.4,58.8,76.9,15.6,10.3,48.9,29.5,58,35.4,60.2,67.2,5.4,55.7,23,83.1,4.8,50.6,8.1,7.7,10.7,114.2,63.6,9.2,5.4,11.9,136.6,44.02879907,21.56497688,23,25,8.6
51179,53.5,5.2,4.3,2707,9443,12338,19004,20712,35426,53011,70712,19.1,4,31.4,39.9,8,9.2,4.8,95.2,66.4,35.4,68,15.6,53.9,13.6,18,10.7,18.4,4.9,27.5,3.7,95.1,72.5,96.3,18.2,31.1,17.6,81.8,68.9,82.4,70.8,54.8,71.6,13.2,7.8,51.4,30.4,60.4,35.4,61.8,69.2,5.2,53.1,29.9,82.7,4.3,56.7,9.8,9.9,9.2,102.8,28.2,9.9,2.1,3,177.4,73.17684492,22.51520325,29.9,18.2,4.8
51181,,12.9,10.4,308,1187,1790,2137,2267,3321,4256,5620,22.7,11.5,26.3,36.4,15.2,16,15.2,84.8,53.6,17.7,60,19.9,60.1,12.7,26.5,22.2,27.2,11.8,45.6,5.7,88.2,54.4,94.3,28.1,45.8,25,71.9,54.2,75,55.2,23.9,60.9,23.1,13.8,52.5,35.7,46.3,24.4,50.5,64,11.1,59.2,46.1,82,6.4,45.1,31.8,0,0,59.6,0,0,0,0,0,0,0,46.1,28.1,15.2
51183,24.6,20.5,14.6,650,1928,2218,2664,2921,3925,4892,5661,33.3,1.6,32.9,57,16.8,16.8,16.3,83.7,41.3,17.7,45.9,19.4,45.1,14.4,39.3,37.2,39.7,18.7,67.7,9.1,81.3,32.3,90.9,28,41.4,25.4,72,58.6,74.6,52.4,26.7,57.4,34.4,21.1,41.8,36.6,39.1,23.8,42.2,42.9,2.7,55.2,30.2,76.7,1.8,41,9.5,17.1,0,25.6,25.6,25.6,0,0,40.7,16.75158208,25.27756388,30.2,28,16.3
51185,200.5,17.7,17.4,2870,10091,12437,16821,18374,26141,32419,36483,36,4,44.5,48.2,24.1,24.2,17.6,82.4,52.5,35.4,56.2,15,31,11.6,32.5,33.6,32.2,18.7,54.8,11.1,81.3,45.2,88.9,43,62.3,38.9,57,37.7,61.1,96.1,94.4,96.5,19.8,22.7,55.3,32.6,41.3,24.9,44.7,50.6,8.2,35.2,29.6,72,5.3,29.2,13.3,2.3,0,49,25.6,2.3,16.3,33.9,584,27.35796158,26.3035837,29.6,43,17.6
51187,92.4,9.8,9.7,1426,4792,6332,8079,9319,17031,22173,27685,22.2,3.4,36.4,38.5,12.8,12.6,9.3,90.7,52.6,30.2,54.9,17.8,40.8,15.4,29.6,29,29.7,9.9,40.6,6.8,90.1,59.4,93.2,26.1,60.8,22.5,73.9,39.2,77.5,90.1,81.5,91,11.1,11.2,52.8,31.4,55.4,36.1,57.4,65.6,7,56.4,34.5,82.5,4.9,43.7,11.1,0,15.4,94.7,48.6,20.5,17.9,24.3,311.1,44.6,19.34044916,34.5,26.1,9.3
51191,116.1,12.8,12.3,2552,10041,13041,16876,18627,29465,37907,43389,28.4,3.9,36.3,41.8,18.3,18.6,12.9,87.1,52,31.9,55,14.9,35.1,11.9,33.1,33,33.1,13.6,46.9,8.7,86.4,53.1,91.3,32.7,49,30.3,67.3,51,69.7,97.1,98,97,16,20.3,49.2,29.8,48,34.8,49.9,57.5,6.7,44.8,30.1,78.5,4.7,35.3,15,0,1.8,108.1,23.8,1.8,12.8,24.5,445.2,36.18876559,24.09699972,30.1,32.7,12.9
51193,45.7,13.3,12.8,813,3096,4885,5821,6227,10131,11933,13448,26.2,8.2,34.5,35.3,17,16.5,13.2,86.8,47.3,31.9,49.6,14.6,37.4,11.2,38.1,30.7,39.2,14.4,46.4,9.6,85.6,53.6,90.4,33.2,42.6,31.7,66.8,57.4,68.3,71.1,49.8,74.4,16.4,22.5,47.3,29.8,45.9,36.3,47.6,56.1,9,58.4,40.7,78.6,5.9,38.1,11.2,5.7,22.7,85.1,39.7,17,5.7,10.2,80.6,13.28445142,17.96412556,40.7,33.2,13.2
51195,214.1,22.4,21.5,3886,11028,12741,15191,16341,23587,29402,32192,38,6.6,46,48.2,24.9,25.3,20.8,79.2,49.4,29.4,54.7,17.3,40.5,11.2,33.3,30.2,34.1,21.9,65.2,10.6,78.1,34.8,89.4,48.1,64.7,43.7,51.9,35.3,56.3,97.7,97.2,97.8,39.7,23.9,40.4,33.3,37.9,19.8,42.9,48.9,10.6,35.5,39.4,67.6,5.4,24,15.8,5,0,226.6,60.4,2.5,10.1,36.9,244.4,39.89733893,25.17740447,39.4,48.1,20.8
51197,120.5,15.1,14.5,1460,6000,7905,9747,10704,17339,20999,24257,35,11.7,36.5,47.5,18.8,19.2,15,85,52.1,27.1,56.5,15.1,30.3,12.4,32.8,42.6,31.1,16,62.4,7.8,84,37.6,92.2,32.9,51.5,29.6,67.1,48.5,70.4,96.6,97.3,96.5,33.6,18.4,43.8,28.9,48.8,22.6,52.7,57.9,9.1,45.3,30,79.9,6.9,39.6,17.8,6.9,0,37.8,58.4,0,17.2,10.8,273.6,62.87165747,24.99665219,30,32.9,15
51199,50.6,6.4,4.2,1673,5156,6519,9746,10392,20246,29972,38987,15.6,5.7,40.3,18.4,10.1,10.3,3.9,96.1,64.8,28.8,66.3,13.9,66.4,11.8,21.2,4.8,21.9,6.1,35.3,4.9,93.9,64.7,95.1,21.4,35.9,20.9,78.6,64.1,79.1,76.2,37,77.7,13.8,11.4,56.5,32.7,54.7,29.7,55.9,66.3,4.2,68.3,20.6,81.8,4.7,55.7,10.1,16.2,5.9,66.3,45.7,2.9,4.4,4.7,18.1,44.6362417,18.63113772,20.6,21.4,3.9
51510,35.9,8.3,4.2,5669,17180,21810,28302,30246,47676,63709,75935,11,1.7,29.3,37.1,6.2,6.8,4.6,95.4,36.2,24.6,36.8,12.2,45.8,10.6,51.6,29.6,52.6,6.7,52.6,4.5,93.3,47.4,95.5,10.9,28.9,10,89.1,71.1,90,60.5,19.7,62.4,21.8,5.6,46,30.7,61.6,32.1,63.7,79,2.8,63.5,23.6,90.3,3.2,61.7,10.3,25.4,5.9,56,26.1,2,3.3,1.1,42.4,89.95617496,20.26780744,23.6,10.9,4.6
51520,186,20.4,17.5,1762,4782,6270,7833,8538,11986,13913,15338,27.5,11.8,39.8,31.8,20.7,21,21.2,78.8,40.5,18.1,46.6,23,52.3,15.1,36.5,29.7,38.3,19.8,57.5,9.7,80.2,42.5,90.3,36.2,50.6,32.3,63.8,49.4,67.7,93.2,86.6,94.9,35.5,17.6,40.1,32.9,43.7,24.4,49.6,56.4,9.8,53.1,40.2,80.1,6.3,25.5,18.6,0,0,23.3,46.7,0,5.8,19.5,478.1,,,40.2,36.2,21.2
51530,71.9,28.4,27.9,536,2309,2760,3831,3881,4719,5108,5609,37.8,28.8,50.2,37.1,13.6,15.3,17.6,82.4,45.9,38.1,47.6,19,40.6,14.4,35,21.3,38,26.5,51.6,21.1,73.5,48.4,78.9,26.9,40.4,24,73.1,59.6,76,92,100,90.3,3.9,14.9,56.6,40.1,43.8,39.5,45,57.7,6.4,65.3,8.8,78,5.7,22.1,16.8,15.1,0,120.9,75.6,0,0,0,133.8,29.08816766,29.02075848,8.8,26.9,17.6
51540,69.2,25.8,24.4,8101,13195,14190,16476,18309,24081,27854,31251,42.8,3,59.8,72.6,8.9,8,9.3,90.7,30.5,13.4,32.2,13.9,51.1,10.1,55.6,35.5,57.6,21.9,51.9,18.8,78.1,48.1,81.2,17.4,41,15,82.6,59,85,72.4,41.4,75.6,15.5,9.4,58.2,28.5,57.3,26.4,62.1,63.8,3.6,39.7,11.7,86.6,2.6,45.3,8.5,19.3,25.8,137.3,47.2,4.3,2.1,1.7,18.4,34.35766612,19.68602652,11.7,17.4,9.3
51550,68.4,9.7,6.1,9418,29917,36398,46769,50721,89293,124695,153060,16.9,2.7,36.6,31.3,9.6,9.9,8.7,91.3,54.7,26.9,57.4,20.5,56.3,17.1,24.8,16.8,25.6,9,47.2,5.4,91,52.8,94.6,20.7,33.2,19.5,79.3,66.8,80.5,62.6,34.2,65.3,16.8,9.6,48.3,33.4,54.9,34.9,57,67.8,5.5,63.8,29.5,83,4.9,45.4,11.4,9.8,22.1,86.7,40.4,10.6,7.2,4,74,31.44668151,18.01328788,29.5,20.7,8.7
51570,243,11.4,9.1,894,3032,3660,4922,5409,8788,11064,13118,19.4,0.7,30,30.8,16,17.1,8.7,91.3,42.7,34.1,43.5,20,45.1,17.5,37.3,20.8,38.9,8.3,48.8,4.5,91.7,51.2,95.5,30.1,57,27.6,69.9,43,72.4,82.2,67.6,83.5,33.7,13.8,47.4,37.2,45.7,18.9,49,59.4,7.1,48,23.3,83.2,6.7,45.3,24.1,28.1,0,61.7,28.1,0,5.6,6.6,35.4,30.86678008,22.29025317,23.3,30.1,8.7
51580,256.4,25.5,28.2,858,1620,1920,2359,2526,3799,4574,5180,31.8,0,21.6,49.8,20.5,20.9,17.9,82.1,38.2,19,42.4,18.9,54.1,11.3,42.8,26.9,46.3,21.4,60.9,12.8,78.6,39.1,87.2,38.4,53.2,35.3,61.6,46.8,64.7,83.7,94.6,81.4,24.1,23.8,51.4,34.6,37.7,24.5,41.6,53,6.6,36.3,17.6,82.3,4.9,43,12.2,17.7,0,0,123.7,17.7,0,19.2,233.6,58.12031802,26.97565764,17.6,38.4,17.9
51590,188.6,23.7,13.9,3938,12554,15672,19282,20196,27833,32547,35579,35,3.3,50.2,47.4,19.9,21.5,26.9,73.1,33.3,14.7,40.2,24.7,50.2,15.3,41.9,35.1,44.4,23.6,57,11.4,76.4,43,88.6,37.1,50.1,32.3,62.9,49.9,67.7,49.8,27.3,58,27.5,19,53.6,30,41.4,18.9,51,51.6,6.6,49.8,37.1,80.2,7.8,30,27.8,16.6,0,209.1,45.1,4.8,0,7.3,180.2,47.28956403,23.50241188,37.1,37.1,26.9
51595,300.6,34.9,26.3,1054,2261,2557,2877,2966,3663,4381,4784,44.1,7.7,53.2,60.6,21.8,20.3,30.6,69.4,32.7,25.4,35.9,28.7,45.4,21.3,38.6,29.2,42.8,32.9,62.9,19.7,67.1,37.1,80.3,41.8,60.6,33.5,58.2,39.4,66.5,40.6,11.2,53.6,11.8,15.2,56.1,43.1,38.3,32.1,41.7,56.3,11.6,44.7,48.8,82.7,13.1,32.6,43.9,18.2,0,0,54.6,0,0,0,0,,,48.8,41.8,30.6
51600,81.4,7,6.5,1021,2244,2643,3382,3671,6168,8106,10625,23.9,0.6,51.4,39.8,8,9.1,4.3,95.7,54.9,39.4,55.5,13.5,9.7,13.7,31.6,50.8,30.8,6.4,35.3,5.1,93.6,64.7,94.9,17.8,58.1,16,82.2,41.9,84,69.6,30.8,71.3,18.6,9.2,50.8,25.3,64.5,30.5,65.5,66.7,4.7,60,21.7,87.9,3.5,56.7,18.3,0,0,0,50,8.3,12.5,0,48.4,33.56552714,17.47494205,21.7,17.8,4.3
51610,64.1,2.7,1.1,155,595,913,1020,1144,2021,2612,3760,10.5,2.5,13.4,40.9,6.8,6.9,2.2,97.8,53.3,22.6,54,10.2,5.2,10.4,36.5,72.2,35.7,2.6,11.3,2.4,97.4,88.7,97.6,14.7,60,13.7,85.3,40,86.3,74,30.4,75,81.3,3.8,18.8,31.5,64.1,0,64.8,75.5,4.5,65.7,23.5,86.5,3.2,57.3,7.1,0,0,86.4,0,0,0,0,51.2,55.544656,16.65887313,23.5,14.7,2.2
51620,271.8,21.2,7.4,480,2400,2976,3699,3909,5107,6217,6985,33.1,2.5,64.2,37,11.4,14.8,29.6,70.4,30.8,7.2,40.8,32.5,68.8,17.2,36.7,24,42,15.5,32.9,8.2,84.5,67.1,91.8,24.1,26.1,23.2,75.9,73.9,76.8,41.3,17.3,51.4,19.3,19.5,68,30,37.1,12.7,50.5,54.5,3.3,65.6,44.5,81.1,5.8,28.7,7.3,35.3,35.3,58.9,58.9,0,11.8,7.5,0,19.96231642,19.69243542,44.5,24.1,29.6
51630,175.9,16.5,15.4,2240,5591,6559,8565,9205,13285,15665,17593,28.5,1.1,38,63,9.8,10.4,17.1,82.9,34.2,15,38.2,22,60.8,13.9,43.8,24.2,47.9,15.9,40.6,10.8,84.1,59.4,89.2,20.2,36,17,79.8,64,83,66.4,38.7,72.1,14.1,11.5,58.8,34.5,47.8,27.2,54,64.1,6.8,52.5,34.1,88.7,5,47.9,24.9,24.9,3.6,120.9,110.2,21.3,3.6,2.5,186,35.99892319,17.50829314,34.1,20.2,17.1
